FlightCode,Company,Destination,Time,Situation
AT 715,Royal Air Maroc,(NCE) Nice,9:15 PM,Prévu
AT 771,Royal Air Maroc,(ORY) Paris,9:20 PM,Prévu
AT 961,Royal Air Maroc,(BCN) Barcelona,9:20 PM,Prévu
AT 801,Royal Air Maroc,(LHR) London,9:35 PM,Prévu
BA 7847 ^,British Airways,(LHR) London,9:35 PM,Prévu
AT 1423,Royal Air Maroc,(VIL) Dakhla,9:40 PM,Prévu
3O 545,Air Arabia Maroc,(GVA) Geneva,9:45 PM,Prévu
AT 733,Royal Air Maroc,(MRS) Marseille,9:50 PM,Prévu
AT 721,Royal Air Maroc,(LYS) Lyon,9:50 PM,Prévu
3O 798,Air Arabia Maroc,(GLN) Goulimime,9:50 PM,Prévu
AT 977,Royal Air Maroc,(LPA) Las Palmas,10:00 PM,Prévu
AT 799,Royal Air Maroc,(BOD) Bordeaux,10:00 PM,Prévu
JAF 7502,TUI fly,(ORY) Paris,10:00 PM,Prévu
AT 1437,Royal Air Maroc,(TTU) Tetouan,10:20 PM,Prévu
IB 1837 ^,Iberia,(TTU) Tetouan,10:20 PM,Prévu
AT 775,Royal Air Maroc,(ORY) Paris,10:25 PM,Prévu
W6 8247,Wizz Air,(FCO) Rome,11:00 PM,Prévu
PC 651,Pegasus,(SAW) Istanbul,11:05 PM,Prévu
3O 336,Air Arabia Maroc,(MPL) Montpellier,11:25 PM,Prévu
AT 412,Royal Air Maroc,(RAK) Marrakech,11:35 PM,Prévu
TK 8311 ^,Turkish Airlines,(RAK) Marrakech,11:35 PM,Prévu
AT 751,Royal Air Maroc,(ORY) Paris,11:40 PM,Prévu
AT 203,Royal Air Maroc,(JFK) New York,11:59 PM,Prévu
AA 7953 ^,American Airlines,(JFK) New York,11:59 PM,Prévu
3O 468,Air Arabia Maroc,(BLQ) Bologna,12:10 PM,Prévu
AT 526,Royal Air Maroc,(CKY) Conakry,12:15 PM,Prévu
AA 8002 ^,American Airlines,(CKY) Conakry,12:15 PM,Prévu
IB 8794,Iberia,(MAD) Madrid,12:15 PM,Prévu
AA 8567 ^,American Airlines,(MAD) Madrid,12:15 PM,Prévu
